week,CA_1,CA_2,CA_3,CA_4,TX_1,TX_2,TX_3,WI_1,WI_2,WI_3
2011-06-20,6928.68,6053.83,6838.36,6440.17,6921.55,6966.1,6770.96,5792.68,6042.58,6904.83
2011-06-27,6954.02,6070.6,6855.42,6482.87,6953.28,6998.5,6838.92,5815.85,6096.21,6912.68
2011-07-04,7019.49,6152.84,6927.51,6537.75,6981.99,7022.32,6862.65,5870.42,6111.42,6992.85
2011-07-11,7060.9800000000005,6172.15,6955.66,6554.9,7038.4,7068.9,6870.04,5892.91,6131.1,7027.87
2011-07-18,7095.28,6182.22,6980.65,6578.83,7047.84,7088.97,6885.03,5908.54,6161.14,7068.3
2011-07-25,7128.99,6205.36,7021.38,6633.55,7081.25,7135.2300000000005,6948.15,5929.05,6188.95,7102.52
2011-08-01,7172.44,6255.52,7062.4400000000005,6695.14,7128.35,7202.34,6978.89,5944.46,6199.25,7137.66
2011-08-08,7229.75,6315.81,7095.76,6742.42,7157.4800000000005,7225.74,6997.55,6010.59,6244.97,7204.32
2011-08-15,7253.95,6343.28,7111.84,6801.52,7207.31,7248.14,7038.14,6045.97,6288.0,7224.65
2011-08-22,7309.67,6408.57,7129.13,6812.07,7222.79,7314.5,7087.76,6081.8,6307.07,7264.03
2011-08-29,7336.4,6449.38,7184.84,6866.93,7280.98,7357.06,7115.05,6104.57,6338.79,7285.74
2011-09-05,7359.84,6479.89,7209.64,6954.11,7315.66,7366.15,7150.81,6122.7300000000005,6372.94,7323.1
2011-09-12,7391.38,6506.7300000000005,7250.7,6977.59,7353.62,7381.46,7172.8,6157.49,6385.46,7352.53
2011-09-19,7412.8,6512.68,7290.41,7020.55,7364.05,7389.99,7195.02,6181.11,6398.86,7376.69
2011-09-26,7447.17,6548.57,7304.64,7040.57,7404.67,7426.94,7243.43,6206.11,6410.84,7413.2
2011-10-03,7462.31,6547.22,7337.94,7062.31,7417.76,7421.67,7254.51,6215.09,6437.98,7438.29
2011-10-10,7473.54,6569.28,7346.75,7068.46,7434.73,7442.94,7268.29,6218.19,6432.88,7441.08
2011-10-17,7478.79,6576.99,7359.09,7079.75,7452.87,7462.33,7260.62,6215.9800000000005,6435.29,7463.67
2011-10-24,7483.54,6587.6,7357.95,7106.45,7461.47,7464.94,7280.02,6223.01,6444.04,7471.86
2011-10-31,7496.87,6610.1900000000005,7367.99,7120.61,7479.25,7466.53,7280.82,6254.07,6476.92,7496.3
2011-11-07,7517.38,6615.85,7380.2,7129.45,7484.37,7464.95,7293.35,6258.74,6480.61,7496.78
2011-11-14,7524.49,6617.88,7394.86,7154.95,7487.44,7473.5,7297.13,6263.91,6521.9800000000005,7496.47
2011-11-21,7544.07,6643.11,7403.58,7170.8,7508.89,7499.84,7310.78,6271.91,6547.12,7514.66
2011-11-28,7568.06,6650.92,7433.49,7174.97,7528.13,7522.71,7320.54,6275.93,6560.63,7525.18
2011-12-05,7595.08,6684.31,7451.88,7191.82,7553.01,7552.42,7329.53,6316.24,6594.74,7540.53
2011-12-12,7636.52,6704.99,7486.52,7234.77,7579.66,7576.78,7381.33,6340.32,6612.74,7587.3
2011-12-19,7665.84,6730.93,7520.44,7279.02,7606.12,7603.58,7414.4,6394.16,6669.15,7630.12
2011-12-26,7702.45,6793.9800000000005,7578.65,7340.65,7628.04,7638.68,7443.83,6428.22,6725.43,7686.81
2012-01-02,7809.44,6897.51,7680.55,7463.15,7735.6,7723.81,7538.67,6485.96,6783.77,7786.17
2012-01-09,7866.77,6957.09,7797.44,7510.64,7829.22,7803.62,7692.29,6560.9,6846.49,7865.84
2012-01-16,7989.79,7076.16,7915.69,7624.97,7878.9,7957.01,7777.96,6690.42,6923.14,7966.89
2012-01-23,8107.76,7159.71,8000.57,7715.7,7984.26,8062.92,7888.86,6748.4800000000005,6958.75,8030.44
2012-01-30,8168.6,7272.09,8061.15,7820.56,8097.22,8141.75,7970.45,6824.88,7135.0,8123.38
2012-02-06,8293.01,7361.43,8182.12,7934.37,8218.48,8220.86,8098.59,6925.4,7280.28,8279.17
2012-02-13,8412.74,7419.55,8270.69,8019.37,8334.81,8303.59,8170.19,7045.17,7331.57,8404.31
2012-02-20,8449.72,7456.64,8316.7,8054.39,8371.39,8392.06,8244.45,7086.62,7356.91,8454.82
2012-02-27,8483.38,7484.85,8337.04,8099.12,8413.2,8404.43,8287.15,7117.62,7367.09,8488.26
2012-03-05,8511.31,7500.76,8360.32,8120.63,8439.22,8409.6,8296.68,7125.3,7401.11,8500.52
2012-03-12,8562.8,7523.16,8389.38,8151.72,8471.3,8449.31,8331.54,7151.19,7419.57,8532.710000000001
2012-03-19,8598.3,7554.26,8411.34,8181.58,8491.28,8480.41,8364.65,7156.92,7439.94,8561.2
2012-03-26,8639.57,7585.41,8453.74,8213.19,8515.69,8533.75,8431.79,7186.65,7482.2,8597.17
2012-04-02,8674.11,7636.0,8512.75,8251.72,8555.39,8559.07,8452.960000000001,7226.81,7927.38,8652.76
2012-04-09,8709.42,7663.94,8536.47,8315.31,8609.19,8628.9,8508.97,7268.08,8346.02,8677.51
2012-04-16,8762.23,7689.33,8581.28,8354.86,8640.85,8670.27,8555.63,7306.33,8436.98,8709.83
2012-04-23,8780.07,7703.22,8595.13,8375.28,8686.09,8678.34,8586.04,7335.93,8499.42,8744.75
2012-04-30,8802.23,7728.71,8634.99,8419.6,8740.7,8699.25,8621.28,7377.05,8552.92,8786.01
2012-05-07,8831.89,7769.68,8647.62,8425.55,8796.0,8712.84,8650.18,7390.45,8593.75,8799.49
2012-05-14,8855.41,7774.53,8664.68,8477.23,8782.44,8707.26,8645.3,7425.17,8615.460000000001,8851.26
2012-05-21,8884.08,7813.8,8695.33,8498.22,8799.77,8749.53,8680.39,7453.15,8657.23,8872.06
2012-05-28,8986.87,7931.38,8810.83,8572.2,8823.85,8875.84,8737.22,7504.69,8688.42,8909.38
2012-06-04,9152.34,8086.83,8936.68,8704.67,9008.25,8983.7,8900.95,7684.8,8893.75,9071.1
2012-06-11,9252.03,8167.86,9020.21,8795.54,9084.35,9097.25,8939.38,7779.49,8968.69,9180.48
2012-06-18,9290.84,8212.39,9087.63,8870.85,9221.08,9149.91,8974.3,7876.51,9059.31,9250.67
2012-06-25,9309.48,8252.37,9096.82,8902.6,9245.07,9177.98,9039.84,7928.87,9121.73,9281.48
2012-07-02,9323.37,8261.84,9111.86,8945.97,9302.7,9209.82,9097.76,7988.21,9174.28,9311.15
2012-07-09,9431.62,8309.65,9210.46,9030.46,9367.06,9309.45,9202.83,8017.64,9247.76,9397.65
2012-07-16,9447.64,8363.54,9283.8,9060.61,9406.66,9358.12,9252.07,8062.0,9341.53,9438.67
2012-07-23,9483.89,8425.37,9302.75,9083.19,9458.25,9427.35,9304.45,8107.59,9374.12,9478.08
2012-07-30,9514.34,8427.45,9299.43,9149.35,9508.17,9460.19,9324.22,8126.16,9396.25,9486.53
2012-08-06,9536.43,8444.48,9323.01,9155.37,9516.59,9493.54,9361.25,8132.0,9430.05,9499.17
2012-08-13,9551.05,8471.0,9369.41,9175.22,9546.38,9515.32,9396.08,8149.58,9457.73,9520.0
2012-08-20,9582.12,8502.36,9363.04,9194.54,9609.18,9554.74,9392.58,8180.61,9479.23,9585.96
2012-08-27,9595.85,8502.55,9418.74,9224.02,9591.09,9566.64,9419.74,8224.06,9508.6,9599.89
2012-09-03,9619.39,8517.89,9451.96,9245.65,9624.16,9587.97,9457.5,8241.92,9511.58,9616.75
2012-09-10,9628.26,8533.01,9455.44,9242.28,9655.0,9593.83,9481.31,8247.86,9563.04,9630.36
2012-09-17,9625.7,8544.63,9467.44,9252.83,9631.74,9574.87,9476.9,8244.81,9572.82,9642.96
2012-09-24,9642.81,8565.34,9477.54,9265.26,9642.43,9610.68,9489.64,8904.0,9585.37,9654.92
2012-10-01,9658.9,8584.53,9494.93,9266.15,9641.34,9627.2,9507.52,9341.97,9604.56,9682.83
2012-10-08,9697.04,8603.93,9518.05,9284.1,9714.5,9662.14,9534.51,9474.7,9613.64,9697.78
2012-10-15,9694.51,8610.5,9523.26,9291.77,9741.66,9671.68,9557.38,9499.3,9628.4,9710.62
2012-10-22,9712.09,8630.03,9537.48,9346.62,9758.21,9686.98,9558.9,9513.21,9643.9,9720.98
2012-10-29,9732.58,8638.13,9566.24,9374.1,9775.12,9691.7,9573.81,9551.79,9681.45,9754.29
2012-11-05,9764.94,8655.94,9609.02,9389.41,9793.87,9732.5,9618.72,9565.99,9696.89,9771.83
2012-11-12,9786.0,8683.77,9640.26,9419.84,9824.1,9764.76,9637.09,9605.97,9730.33,9781.21
2012-11-19,9828.87,8717.63,9659.38,9439.97,9836.15,9801.69,9654.86,9631.56,9745.86,9792.71
2012-11-26,9819.49,8735.31,9691.85,9452.25,9892.39,9840.4,9679.13,9638.14,9760.41,9797.04
2012-12-03,9817.86,8747.3,9690.35,9450.52,9891.21,9847.64,9694.81,9678.92,9776.79,9806.07
2012-12-10,9830.9,8775.55,9731.12,9463.44,9934.33,9923.41,9778.35,9793.61,9842.54,9852.1
2012-12-17,9883.12,8834.5,9763.29,9519.46,9949.66,9949.86,9824.78,9867.29,9913.26,9906.06
2012-12-24,9915.25,8838.08,9800.76,9547.86,9961.05,9963.84,9858.07,9900.71,9941.45,9947.97
2012-12-31,9949.94,8866.09,9866.55,9582.5,9947.55,9979.94,9860.72,9931.82,10000.46,9976.87
2013-01-07,10002.4,8878.38,9934.1,9624.69,10019.15,10073.44,9896.83,9979.01,10055.35,10040.73
2013-01-14,10075.2,8933.77,9972.27,9645.79,10057.84,10120.13,9973.9,10027.71,10086.84,10082.8
2013-01-21,10192.94,9007.58,10025.52,9715.57,10147.03,10177.86,10006.8,10093.07,10132.15,10135.79
2013-01-28,10250.16,9080.37,10086.59,9824.02,10211.61,10271.87,10092.34,10140.58,10220.95,10193.87
2013-02-04,10298.21,9106.18,10164.4,9910.94,10232.26,10298.51,10164.52,10172.81,10285.46,10231.78
2013-02-11,10365.93,9168.08,10215.77,9976.77,10294.75,10349.08,10202.35,10290.39,10316.9,10299.81
2013-02-18,10377.76,9186.64,10212.89,10014.15,10333.42,10364.54,10198.87,10330.33,10343.03,10344.37
2013-02-25,10383.86,9206.69,10226.85,10040.52,10325.5,10377.55,10220.7,10375.45,10360.21,10366.59
2013-03-04,10420.71,9226.57,10251.51,10076.14,10373.94,10395.07,10263.53,10411.51,10389.42,10410.51
2013-03-11,10429.37,9255.28,10296.72,10101.75,10389.84,10448.83,10319.36,10456.85,10429.69,10434.51
2013-03-18,10514.22,9291.32,10362.25,10143.82,10463.97,10504.65,10348.63,10513.94,10484.19,10463.53
2013-03-25,10596.65,9348.39,10403.97,10204.86,10477.61,10548.16,10402.15,10548.76,10532.95,10516.84
2013-04-01,10656.96,9378.83,10471.33,10254.65,10520.39,10568.85,10446.19,10604.61,10591.75,10573.09
2013-04-08,10688.4,9426.54,10504.86,10288.83,10587.39,10603.91,10478.36,10621.27,10621.49,10599.22
2013-04-15,10715.75,9464.64,10518.53,10322.98,10601.55,10631.32,10540.08,10733.98,10657.68,10613.48
2013-04-22,10742.23,9508.72,10548.21,10337.73,10617.35,10651.83,10542.83,10769.69,10668.95,10732.17
2013-04-29,10750.23,9514.46,10558.77,10348.77,10631.42,10667.0,10579.33,10782.39,10684.95,10774.54
2013-05-06,10774.32,9538.08,10586.67,10375.87,10647.68,10672.91,10601.32,10808.79,10702.62,10815.6
2013-05-13,10803.84,9561.72,10636.11,10394.78,10782.55,10728.25,10633.47,10857.18,10716.26,10764.46
2013-05-20,10811.72,9561.54,10643.16,10422.87,10764.37,10725.25,10623.96,10868.8,10724.44,10790.51
2013-05-27,10819.31,9566.15,10655.31,10458.46,10786.9,10697.51,10658.96,10897.01,10738.53,10803.67
2013-06-03,10916.23,9646.86,10693.6,10530.69,10837.36,10788.29,10714.72,11001.58,10822.04,10865.13
2013-06-10,10940.92,9680.53,10815.4,10553.62,10891.17,10819.45,10772.28,11027.74,10853.48,10890.61
2013-06-17,10994.81,9725.31,10852.35,10642.92,10949.91,10830.83,10788.9,11055.66,10910.51,11024.53
2013-06-24,11089.72,9746.02,10902.41,10714.03,10993.04,10909.39,10795.44,11092.9,10953.58,11098.4
2013-07-01,11130.78,9803.29,10943.3,10731.25,10994.41,10898.58,10860.95,11128.02,11107.44,11137.48
2013-07-08,11137.28,9804.62,10947.61,10742.92,11037.55,10965.6,10858.64,11137.73,11117.16,11195.63
2013-07-15,11139.05,9809.38,10973.49,10762.91,11046.13,10953.5,10879.28,11137.85,11136.2,11213.27
2013-07-22,11205.54,9818.89,11000.68,10810.44,11062.93,10974.87,10938.84,11151.54,11148.57,11230.44
2013-07-29,11209.3,9840.68,11020.27,10811.81,11112.07,10925.36,10949.18,11176.12,11172.87,11234.63
2013-08-05,11246.54,9845.6,11047.87,10835.78,11151.81,11039.94,10989.17,11193.53,11206.4,11254.25
2013-08-12,11284.49,9951.36,11080.85,10890.16,11159.16,11168.86,11065.2,11220.11,11243.9,11273.45
2013-08-19,11332.79,10017.21,11153.8,10931.63,11189.04,11191.84,11134.72,11279.91,11290.8,11302.82
2013-08-26,11368.5,10090.38,11165.88,10950.51,11236.1,11255.6,11168.11,11323.55,11302.36,11328.58
2013-09-02,11393.14,10132.92,11164.99,10970.77,11243.38,11288.6,11186.04,11351.05,11333.59,11378.66
2013-09-09,11404.32,10157.46,11181.08,11035.11,11281.81,11324.83,11198.85,11372.6,11350.74,11395.65
2013-09-16,11413.3,10176.37,11209.38,11040.66,11308.83,11336.29,11220.05,11385.32,11384.37,11412.63
2013-09-23,11436.56,10197.06,11223.04,11046.3,11325.26,11363.04,11232.54,11401.83,11369.98,11442.04
2013-09-30,11439.75,10215.72,11232.4,11047.88,11332.11,11366.13,11241.36,11446.64,11394.6,11448.64
2013-10-07,11441.72,10233.16,11246.45,11062.2,11346.36,11372.55,11253.54,11456.59,11427.04,11457.79
2013-10-14,11450.04,10236.89,11241.74,11076.53,11353.11,11369.76,11252.23,11441.25,11434.7,11466.06
2013-10-21,11457.79,10236.47,11252.22,11080.6,11366.44,11392.5,11262.24,11442.89,11429.73,11482.94
2013-10-28,11489.92,10248.48,11267.88,11100.83,11372.45,11408.62,11284.44,11474.8,11436.62,11489.96
2013-11-04,11485.56,10281.27,11278.12,11108.22,11403.28,11442.08,11324.15,11499.22,11458.3,11503.2
2013-11-11,11496.43,10282.87,11294.56,11120.43,11432.55,11442.02,11325.83,11504.08,11481.52,11533.67
2013-11-18,11515.47,10290.23,11297.78,11127.17,11463.65,11463.84,11351.72,11529.86,11500.48,11552.27
2013-11-25,11527.28,10341.79,11358.91,11141.24,11460.02,11492.98,11369.59,11559.28,11510.9,11571.13
2013-12-02,11542.7,10359.91,11388.79,11182.27,11512.44,11556.95,11422.34,11592.35,11523.03,11607.52
2013-12-09,11619.13,10425.14,11444.35,11236.01,11543.11,11591.55,11471.33,11640.48,11593.79,11649.36
2013-12-16,11701.76,10465.85,11501.68,11271.76,11569.51,11611.13,11509.86,11688.15,11637.57,11677.85
2013-12-23,11764.86,10504.7,11534.68,11319.1,11608.96,11652.3,11535.07,11722.4,11684.69,11738.04
2013-12-30,11796.93,10555.34,11584.76,11367.37,11651.69,11638.27,11587.41,11765.02,11712.56,11760.55
2013-12-30,11812.35,10583.27,11624.7,11444.2,11724.81,11703.34,11625.91,11783.47,11720.39,11776.22
2014-01-06,11860.61,10635.7,11690.39,11557.39,11783.56,11764.24,11672.52,11821.69,11757.56,11808.78
2014-01-13,11916.16,10688.43,11790.02,11629.2,11913.6,11844.61,11740.16,11898.45,11823.2,11882.82
2014-01-20,12055.67,10880.58,11949.92,11722.84,11929.37,11934.48,11871.66,12026.92,11963.45,11976.71
2014-01-27,12181.52,10954.44,12039.92,11841.22,12102.85,12073.91,11944.53,12096.26,12122.05,12104.39
2014-02-03,12235.76,11058.58,12104.99,11882.23,12101.94,12170.03,12005.9,12155.21,12199.13,12206.21
2014-02-10,12308.98,11121.88,12176.08,12005.88,12191.07,12208.01,12037.06,12275.34,12248.15,12207.32
2014-02-17,12352.36,11199.67,12217.58,12091.32,12230.08,12220.25,12096.59,12354.56,12337.6,12233.53
2014-02-24,12425.95,11214.2,12240.93,12131.64,12255.18,12275.66,12164.37,12428.85,12353.07,12260.92
2014-03-03,12455.2,11219.21,12257.09,12160.86,12285.07,12306.43,12187.19,12458.32,12376.99,12284.2
2014-03-10,12466.22,11262.89,12289.94,12227.16,12310.48,12325.98,12267.79,12463.88,12423.17,12312.73
2014-03-17,12497.17,11290.09,12313.55,12238.69,12339.2,12364.97,12307.87,12480.32,12449.98,12372.82
2014-03-24,12516.99,11308.67,12337.89,12278.91,12367.86,12404.86,12322.57,12502.93,12486.56,12387.49
2014-03-31,12562.75,11359.89,12400.35,12314.39,12391.19,12451.39,12350.46,12550.85,12544.72,12456.6
2014-04-07,12622.52,11389.21,12425.4,12336.58,12426.02,12464.2,12404.44,12565.15,12582.43,12508.7
2014-04-14,12634.25,11416.19,12436.2,12356.91,12465.95,12484.57,12418.35,12592.4,12597.31,12549.46
2014-04-21,12650.77,11459.63,12449.39,12388.73,12494.13,12491.09,12431.68,12622.16,12628.6,12557.87
2014-04-28,12701.25,11480.05,12471.32,12443.83,12553.16,12512.8,12437.75,12661.22,12667.5,12579.31
2014-05-05,12727.79,11514.93,12496.4,12485.76,12574.5,12533.59,12467.83,12678.54,12703.62,12611.39
2014-05-12,12762.24,11552.4,12556.6,12527.26,12652.07,12607.73,12513.01,12738.39,12747.35,12641.38
2014-05-19,12816.76,11606.89,12622.4,12581.77,12669.07,12643.67,12552.78,12766.56,12790.7,12679.51
2014-05-26,12856.48,11633.65,12653.81,12612.14,12720.42,12708.82,12592.51,12804.61,12828.12,12716.29
2014-06-02,12872.76,11681.0,12670.77,12654.09,12754.76,12740.78,12671.22,12836.91,12842.8,12737.58
2014-06-09,12909.46,11707.92,12687.34,12668.04,12802.96,12794.63,12676.05,12856.56,12897.11,12784.22
2014-06-16,12947.79,11737.23,12748.03,12677.18,12824.43,12848.24,12738.93,12862.63,12966.52,12824.01
2014-06-23,12982.99,11751.37,12761.87,12710.67,12859.91,12862.85,12778.54,12901.92,12995.35,12852.32
2014-06-30,13003.33,11776.84,12786.19,12738.24,12864.57,12859.62,12774.6,12923.91,13004.71,12893.31
2014-07-07,13012.98,11784.02,12784.61,12758.7,12886.44,12857.93,12733.2,12982.43,13009.03,12902.0
2014-07-14,13018.37,11795.73,12815.09,12766.77,12891.35,12918.14,12764.38,12994.15,13029.88,12917.09
2014-07-21,13038.32,11800.99,12829.16,12775.05,12932.99,12909.51,12808.32,13037.33,13035.69,12948.7
2014-07-28,13052.31,11828.94,12860.04,12796.24,12965.49,12946.25,12875.12,13060.41,13053.33,12970.23
2014-08-04,13087.76,11863.39,12892.65,12854.44,12996.01,12974.94,12888.83,13087.35,13108.77,13001.35
2014-08-11,13094.28,11892.08,12940.75,12866.17,13017.27,12981.47,12927.17,13110.9,13164.68,13002.96
2014-08-18,13096.84,11916.11,12943.96,12912.72,13028.69,13009.23,12923.61,13123.85,13158.39,13065.43
2014-08-25,13098.38,11950.83,12963.17,12921.57,13049.25,13006.66,12927.39,13113.75,13187.22,13080.29
2014-09-01,13138.15,11953.77,12972.3,12926.88,13070.28,13004.42,12956.78,13142.7,13181.99,13086.7
2014-09-08,13177.13,12010.8,13046.95,13008.38,13095.92,13083.13,12984.45,13185.91,13250.31,13149.52
2014-09-15,13177.96,12034.23,13068.11,13006.77,13119.01,13103.73,12976.02,13198.18,13241.66,13163.84
2014-09-22,13194.15,12082.07,13073.65,13031.86,13119.29,13108.2,12993.13,13210.36,13258.44,13146.29
2014-09-29,13210.71,12101.78,13096.35,13046.14,13140.13,13129.53,13002.26,13249.79,13266.33,13204.64
2014-10-06,13225.51,12112.94,13092.7,13063.03,13150.57,13128.83,13036.86,13261.89,13276.16,13211.42
2014-10-13,13223.1,12132.42,13101.54,13071.72,13158.72,13134.72,13054.56,13259.11,13257.13,13187.49
2014-10-20,13235.33,12139.04,13107.2,13078.48,13167.44,13146.57,13065.07,13263.45,13277.98,13229.1
2014-10-27,13249.45,12160.76,13129.2,13096.53,13188.83,13172.62,13081.47,13289.51,13305.53,13264.71
2014-11-03,13268.8,12177.93,13147.0,13107.21,13230.09,13188.9,13104.33,13309.02,13334.64,13279.71
2014-11-10,13277.85,12175.52,13165.3,13112.91,13256.84,13218.03,13115.86,13320.2,13343.56,13293.99
2014-11-17,13307.68,12199.73,13144.47,13112.3,13275.76,13237.08,13151.15,13323.14,13352.58,13293.69
2014-11-24,13357.45,12207.73,13161.02,13166.33,13348.34,13269.18,13186.33,13362.81,13407.4,13333.84
2014-12-01,13396.78,12254.6,13240.58,13243.73,13402.58,13319.85,13228.38,13400.15,13460.36,13361.58
2014-12-08,13417.88,12272.51,13271.72,13264.03,13413.8,13350.2,13246.9,13418.74,13492.38,13381.32
2014-12-15,13444.97,12283.9,13288.83,13324.9,13424.92,13368.04,13270.64,13495.78,13506.43,13410.4
2014-12-22,13471.4,12298.69,13292.07,13357.98,13441.26,13381.41,13308.88,13502.13,13523.47,13409.47
2014-12-29,13474.51,12311.03,13318.67,13373.32,13460.61,13407.72,13326.61,13517.56,13557.53,13440.31
2015-01-05,13504.32,12328.37,13355.59,13404.12,13505.71,13434.51,13342.76,13549.77,13569.28,13476.06
2015-01-12,13499.19,12366.58,13400.49,13431.42,13453.13,13449.35,13336.97,13565.7,13595.9,13496.18
2015-01-19,13510.72,12380.88,13417.27,13441.9,13464.76,13439.78,13338.81,13583.03,13577.19,13502.41
2015-01-26,13511.94,12388.72,13415.18,13446.99,13477.05,13478.0,13356.35,13579.67,13597.7,13491.36
2015-02-02,13521.93,12394.79,13436.34,13467.99,13481.36,13489.1,13369.94,13596.09,13630.95,13520.27
2015-02-09,13550.29,12418.52,13460.14,13481.9,13525.72,13484.41,13386.86,13596.07,13667.85,13545.6
2015-02-16,13550.77,12434.55,13486.13,13520.41,13483.37,13479.55,13403.51,13593.79,13610.79,13559.66
2015-02-23,13561.31,12445.61,13496.88,13533.67,13495.7,13486.12,13418.77,13608.99,13641.96,13568.76
2015-03-02,13629.04,12504.91,13530.58,13531.47,13506.17,13507.21,13458.92,13668.44,13626.5,13612.18
2015-03-09,13633.58,12513.51,13536.04,13544.58,13537.75,13522.37,13471.73,13686.49,13652.6,13616.08
2015-03-16,13641.78,12527.73,13566.14,13550.55,13507.88,13544.46,13463.76,13699.85,13664.24,13640.52
2015-03-23,13639.2,12540.89,13567.2,13556.12,13518.9,13537.31,13465.71,13675.98,13664.18,13660.95
2015-03-30,13645.45,12539.24,13561.63,13562.25,13527.06,13531.64,13465.41,13696.87,13667.24,13667.69
2015-04-06,13651.58,12546.87,13564.81,13572.35,13537.9,13548.88,13504.74,13700.08,13682.64,13666.03
2015-04-13,13651.11,12560.34,13564.05,13570.27,13554.66,13546.01,13502.73,13700.48,13686.84,13678.59
2015-04-20,13654.57,13034.1,13566.47,13574.98,13544.3,13551.72,13502.34,13698.08,13683.89,13679.73
2015-04-27,13657.14,13309.15,13571.89,13572.26,13551.37,13543.88,13498.82,13700.13,13679.43,13685.21
2015-05-04,13660.44,13409.92,13572.31,13578.16,13554.93,13558.22,13504.11,13705.46,13679.14,13683.52
2015-05-11,13663.66,13441.21,13573.49,13578.47,13558.39,13569.16,13513.05,13710.82,13694.31,13689.44
2015-05-18,13672.67,13459.69,13570.81,13586.6,13566.28,13564.34,13520.45,13714.01,13686.58,13686.82
2015-05-25,13670.1,13457.64,13570.56,13588.35,13575.02,13566.93,13518.42,13708.42,13692.65,13693.55
2015-06-01,13669.48,13469.2,13571.06,13596.89,13565.38,13565.44,13518.72,13712.96,13689.66,13698.51
2015-06-08,13667.08,13485.5,13576.84,13596.32,13581.6,13574.1,13516.37,13699.47,13707.06,13703.0
2015-06-15,13666.18,13489.42,13580.46,13603.27,13574.43,13573.03,13517.09,13710.14,13707.27,13702.38
2015-06-22,13652.16,13484.54,13556.51,13597.42,13568.1,13571.28,13523.71,13704.59,13687.32,13705.77
2015-06-29,13665.13,13490.95,13556.99,13604.58,13546.91,13559.25,13524.39,13703.55,13679.64,13715.17
2015-07-06,13665.45,13487.81,13565.86,13604.4,13562.77,13552.01,13522.14,13702.85,13695.1,13710.11
2015-07-13,13665.44,13481.97,13557.51,13605.42,13555.39,13562.33,13533.15,13699.55,13699.98,13726.52
2015-07-20,13660.58,13508.89,13550.96,13600.73,13555.72,13553.54,13525.8,13698.6,13697.0,13720.85
2015-07-27,13666.56,13522.56,13562.85,13609.3,13564.2,13565.83,13527.32,13699.09,13694.63,13719.36
2015-08-03,13669.48,13525.14,13553.47,13617.42,13554.09,13557.42,13543.5,13699.8,13690.3,13717.6
2015-08-10,13671.07,13524.53,13579.02,13621.12,13556.95,13562.29,13549.12,13726.4,13689.39,13715.31
