Date,ACT,AUS,NSW,NT,QLD,SA,TAS,VIC,WA
1983-08-01,356,20649,7133,249,3553,1708,605,5045,2003
1983-09-01,390,20682,7030,258,3415,1712,630,5269,1985
1983-10-01,363,20315,7001,220,3317,1741,621,5172,1880
1983-11-01,339,18612,6332,223,3133,1557,550,4703,1776
1983-12-01,329,19185,6599,243,3168,1590,584,4812,1862
1984-01-01,335,19888,6870,229,3388,1742,565,4908,1853
1984-02-01,329,19500,6684,254,3244,1672,550,4813,1954
1984-03-01,363,21667,7422,295,3698,1813,638,5495,1940
1984-04-01,345,19987,6970,304,3394,1637,588,4813,1937
1984-05-01,351,20715,7167,281,3511,1699,577,5179,1952
1984-06-01,351,19760,6919,241,3364,1679,598,4750,1861
1984-07-01,334,20229,6945,258,3404,1757,640,4909,1981
1984-08-01,362,20756,7105,269,3534,1731,606,5187,1962
1984-09-01,354,20123,7024,255,3318,1602,618,5085,1868
1984-10-01,379,20636,7215,249,3294,1710,633,5285,1868
1984-11-01,336,19304,6649,263,3086,1575,611,4915,1865
1984-12-01,308,19647,6927,230,3187,1579,622,4981,1813
1985-01-01,359,20676,7122,298,3476,1694,617,5151,1964
1985-02-01,288,18998,6573,286,3256,1543,556,4747,1747
1985-03-01,348,21427,7523,315,3637,1721,586,5279,2018
1985-04-01,322,20393,7000,278,3455,1687,624,5074,1953
1985-05-01,336,21054,7135,317,3476,1769,624,5288,2111
1985-06-01,314,19527,6853,269,3320,1549,555,4784,1885
1985-07-01,351,20628,7141,297,3460,1628,616,5152,1984
1985-08-01,341,20818,7211,280,3346,1684,614,5345,1997
1985-09-01,370,20539,7231,237,3263,1720,619,5151,1948
1985-10-01,375,21124,7508,285,3241,1758,612,5359,1984
1985-11-01,355,19455,6709,247,3226,1549,619,4941,1808
1985-12-01,324,19379,6762,235,3182,1521,572,4922,1861
1986-01-01,320,20025,7002,288,3366,1687,550,4805,2004
1986-02-01,342,18960,6559,264,3143,1534,500,4705,1914
1986-03-01,374,21106,7111,295,3699,1755,607,5120,2143
1986-04-01,366,20489,7125,295,3411,1637,595,5104,1957
1986-05-01,300,20651,7237,313,3599,1668,553,4936,2044
1986-06-01,296,19810,6860,304,3429,1597,574,4911,1841
1986-07-01,319,20942,7270,245,3569,1664,617,5217,2040
1986-08-01,358,20667,7089,273,3448,1656,622,5227,1993
1986-09-01,347,20897,7244,251,3337,1661,602,5358,2095
1986-10-01,390,21300,7449,277,3363,1713,640,5400,2071
1986-11-01,332,18863,6497,267,3043,1564,551,4782,1826
1986-12-01,376,20153,6922,286,3302,1607,608,5116,1938
1987-01-01,332,20016,7014,286,3308,1650,566,4910,1950
1987-02-01,320,19151,6828,239,3077,1481,550,4732,1923
1987-03-01,361,21748,7672,342,3592,1710,604,5291,2179
1987-04-01,326,20539,7091,305,3523,1578,558,5094,2065
1987-05-01,322,20696,7203,279,3347,1592,556,5298,2100
1987-06-01,335,20111,7091,288,3252,1624,572,4922,2026
1987-07-01,350,21074,7288,300,3497,1674,576,5210,2178
1987-08-01,355,20424,7050,224,3367,1568,580,5231,2051
1987-09-01,374,21082,7386,258,3354,1744,587,5400,1981
1987-10-01,373,20385,7096,259,3139,1706,561,5172,2080
1987-11-01,356,19181,6821,272,2998,1427,572,4990,1744
1987-12-01,325,19758,6956,275,3264,1518,571,4996,1851
1988-01-01,389,20210,6999,285,3231,1534,537,5223,2013
1988-02-01,347,19724,6816,297,3215,1537,553,4940,2017
1988-03-01,339,22208,7745,307,3634,1709,588,5649,2236
1988-04-01,336,20505,7040,289,3439,1562,561,5192,2084
1988-05-01,335,21051,7369,291,3545,1651,529,5282,2049
1988-06-01,365,20716,7058,293,3468,1657,554,5183,2140
1988-07-01,350,20705,7083,284,3561,1523,569,5211,2125
1988-08-01,356,21348,7488,280,3514,1702,602,5345,2061
1988-09-01,413,21843,7774,275,3525,1633,624,5444,2155
1988-10-01,401,21473,7504,272,3441,1685,615,5420,2137
1988-11-01,384,20431,7002,280,3367,1601,617,5170,2014
1988-12-01,363,21054,7402,279,3537,1586,598,5286,2003
1989-01-01,358,20480,7082,301,3312,1624,548,5190,2068
1989-02-01,320,19416,6642,257,3338,1561,496,4876,1926
1989-03-01,345,21599,7313,261,3761,1717,589,5403,2212
1989-04-01,291,20243,6901,313,3445,1605,572,5035,2077
1989-05-01,339,21831,7610,332,3660,1663,591,5463,2171
1989-06-01,352,21330,7368,264,3607,1617,536,5364,2225
1989-07-01,381,21580,7436,267,3731,1630,595,5414,2128
1989-08-01,373,22121,7740,301,3762,1649,580,5507,2209
1989-09-01,410,22074,7705,288,3698,1672,618,5470,2211
1989-10-01,402,22156,7770,297,3592,1681,600,5694,2121
1989-11-01,385,20852,7216,287,3508,1601,633,5203,2017
1989-12-01,358,20882,7235,285,3539,1615,558,5220,2073
1990-01-01,373,21255,7349,263,3574,1595,587,5468,2046
1990-02-01,336,20220,6866,257,3455,1563,530,5144,2069
1990-03-01,378,22918,7717,328,3977,1788,616,5841,2277
1990-04-01,352,21751,7443,310,3691,1621,569,5550,2217
1990-05-01,359,22360,7617,306,4004,1666,581,5595,2235
1990-06-01,378,21722,7423,332,3794,1637,561,5445,2153
1990-07-01,390,22312,7609,286,3940,1717,594,5529,2248
1990-08-01,367,22678,7751,328,3892,1703,637,5781,2221
1990-09-01,410,22415,7871,255,3836,1605,629,5668,2142
1990-10-01,437,23121,7913,296,3837,1757,658,5985,2238
1990-11-01,379,21036,7368,276,3485,1576,558,5320,2074
1990-12-01,369,20966,7260,281,3642,1583,578,5322,1934
1991-01-01,403,21683,7334,307,3676,1680,606,5512,2165
1991-02-01,341,20045,6861,282,3489,1486,587,4986,2010
1991-03-01,386,22412,7712,313,3945,1677,549,5697,2133
1991-04-01,391,21889,7534,355,3839,1616,579,5383,2193
1991-05-01,389,22221,7644,348,3920,1640,579,5523,2176
1991-06-01,348,21309,7334,311,3788,1628,588,5317,1997
1991-07-01,356,21935,7524,320,3920,1674,595,5460,2083
1991-08-01,357,22008,7746,297,3814,1642,599,5439,2114
1991-09-01,398,21606,7488,265,3781,1646,563,5390,2077
1991-10-01,480,22073,7625,290,3649,1695,592,5680,2064
1991-11-01,390,19974,6886,273,3386,1535,544,5038,1922
1991-12-01,381,21071,7178,291,3667,1640,604,5347,1965
1992-01-01,397,22020,7700,310,3845,1672,604,5474,2018
1992-02-01,348,21282,7309,300,3773,1638,555,5289,2070
1992-03-01,351,22757,7843,337,4085,1701,571,5635,2233
1992-04-01,347,21936,7510,334,3912,1653,591,5453,2135
1992-05-01,355,22401,7643,341,4125,1688,583,5437,2229
1992-06-01,362,21855,7563,358,3967,1605,592,5282,2129
1992-07-01,383,22861,8021,316,4000,1761,590,5668,2122
1992-08-01,394,22030,7678,273,3887,1645,589,5469,2095
1992-09-01,388,22721,7924,274,3948,1664,604,5679,2240
1992-10-01,371,22695,7880,315,3870,1720,620,5761,2159
1992-11-01,379,20538,7066,289,3659,1550,559,5184,1852
1992-12-01,365,21094,7242,299,3681,1611,605,5371,1920
1993-01-01,385,21588,7428,279,3845,1668,546,5343,2089
1993-02-01,328,20223,6958,270,3586,1572,517,5070,1920
1993-03-01,393,22973,7913,368,4268,1726,587,5555,2158
1993-04-01,375,21727,7413,317,3941,1690,580,5275,2136
1993-05-01,402,22106,7543,317,4118,1668,562,5418,2072
1993-06-01,348,21876,7499,299,4014,1683,534,5323,2173
1993-07-01,362,22204,7624,317,4054,1724,586,5389,2146
1993-08-01,325,21918,7505,306,4101,1675,615,5367,2022
1993-09-01,388,22472,7682,279,4008,1691,587,5527,2307
1993-10-01,372,22207,7556,302,4099,1584,644,5511,2136
1993-11-01,342,20506,7063,296,3630,1492,603,5104,1970
1993-12-01,414,21663,7463,325,3875,1594,551,5399,2042
1994-01-01,381,21908,7558,290,3859,1691,532,5474,2115
1994-02-01,358,20422,6949,316,3766,1516,546,5043,1925
1994-03-01,404,23642,8232,324,4301,1763,637,5703,2273
1994-04-01,371,21375,7278,306,3914,1649,523,5273,2060
1994-05-01,386,22097,7509,337,4073,1595,571,5403,2219
1994-06-01,350,21209,7194,288,3951,1592,595,5177,2056
1994-07-01,355,21997,7629,286,4123,1624,587,5239,2150
1994-08-01,391,22210,7656,298,4066,1593,569,5510,2128
1994-09-01,419,22586,7821,291,4002,1716,638,5449,2252
1994-10-01,376,22306,7608,301,4040,1683,634,5628,2034
1994-11-01,366,20866,7077,281,3836,1556,595,5217,1933
1994-12-01,347,21532,7406,299,3969,1626,614,5181,2083
1995-01-01,378,21823,7345,342,4061,1696,551,5347,2101
1995-02-01,335,20463,6947,308,3823,1508,523,4968,2046
1995-03-01,393,23223,7898,351,4390,1730,587,5544,2322
1995-04-01,367,21154,7155,299,3967,1588,582,5103,2090
1995-05-01,380,22597,7786,336,4247,1681,551,5408,2201
1995-06-01,390,21690,7358,344,4007,1648,575,5238,2125
1995-07-01,366,22138,7661,314,4150,1619,599,5281,2147
1995-08-01,364,22405,7764,322,4141,1679,627,5360,2147
1995-09-01,353,22075,7580,297,4127,1706,596,5215,2199
1995-10-01,382,21953,7490,307,4079,1564,583,5458,2087
1995-11-01,368,20399,7096,275,3750,1478,508,4969,1952
1995-12-01,364,20149,6979,256,3613,1538,543,5020,1831
1996-01-01,361,21151,7246,278,3925,1562,575,5179,2027
1996-02-01,336,20633,6939,298,3889,1597,552,4902,2118
1996-03-01,349,21926,7396,344,4169,1634,542,5340,2145
1996-04-01,353,20856,7086,308,3960,1528,496,4978,2147
1996-05-01,364,21851,7476,316,4174,1627,563,5157,2176
1996-06-01,340,20900,7182,313,3902,1553,510,4970,2130
1996-07-01,390,21822,7471,310,4096,1586,572,5241,2151
1996-08-01,371,21933,7589,290,4139,1592,567,5209,2175
1996-09-01,369,22088,7715,295,4117,1613,609,5205,2163
1996-10-01,368,22399,7785,294,3992,1616,575,5585,2177
1996-11-01,366,20920,7520,254,3672,1541,524,5100,1936
1996-12-01,364,21274,7647,298,3838,1483,570,5098,1967
1997-01-01,366,21620,7638,305,3843,1551,528,5171,2216
1997-02-01,299,19632,6771,299,3610,1461,498,4708,1989
1997-03-01,344,21693,7466,305,4066,1586,530,5195,2195
1997-04-01,368,20929,7132,313,4049,1529,516,4978,2041
1997-05-01,375,21728,7414,287,4164,1607,548,5255,2072
1997-06-01,327,21050,7360,311,4097,1474,516,4911,2049
1997-07-01,370,22067,7589,310,4270,1609,562,5202,2151
1997-08-01,336,21456,7442,292,4138,1547,506,5087,2104
1997-09-01,334,21999,7801,291,4082,1578,522,5205,2182
1997-10-01,386,22492,7892,289,4098,1637,555,5470,2161
1997-11-01,316,19947,7002,261,3631,1482,486,4860,1904
1997-12-01,339,20662,7098,313,3854,1471,530,5028,2026
1998-01-01,352,21012,7185,318,4029,1580,528,4957,2061
1998-02-01,323,19695,6649,300,3793,1481,498,4669,1982
1998-03-01,380,21884,7546,349,4246,1608,539,5022,2195
1998-04-01,339,21065,7213,321,4148,1534,496,4831,2173
1998-05-01,330,21165,7177,317,4084,1576,496,4995,2190
1998-06-01,335,20842,7185,297,3923,1470,504,5001,2127
1998-07-01,362,21980,7619,306,4269,1542,569,5175,2134
1998-08-01,330,21243,7278,285,4082,1489,551,5096,2130
1998-09-01,355,21837,7537,281,4047,1704,550,5172,2190
1998-10-01,345,21901,7523,285,3980,1621,592,5293,2261
1998-11-01,396,19900,6796,271,3621,1479,510,4794,2034
1998-12-01,334,20392,7179,251,3729,1474,529,4872,2022
1999-01-01,352,21353,7365,330,3994,1550,521,5087,2153
1999-02-01,321,20020,6839,296,3820,1452,521,4787,1984
1999-03-01,374,22594,7688,329,4410,1639,549,5390,2210
1999-04-01,356,21203,7323,328,4093,1488,490,4949,2173
1999-05-01,347,21348,7221,354,4065,1559,544,5001,2259
1999-06-01,346,21283,7446,296,3981,1567,523,4975,2148
1999-07-01,321,21782,7544,292,4248,1473,507,5217,2174
1999-08-01,383,21724,7536,311,4188,1529,547,5183,2046
1999-09-01,375,22153,7624,267,4155,1627,527,5445,2132
1999-10-01,357,21258,7271,288,3846,1539,489,5341,2123
1999-11-01,315,19892,6851,262,3697,1423,467,4892,1985
1999-12-01,296,20652,7117,287,3953,1452,532,4921,2091
2000-01-01,332,21589,7528,313,4101,1533,522,5133,2122
2000-02-01,327,20231,7060,312,3866,1425,469,4761,2008
2000-03-01,335,22241,7658,332,4400,1558,494,5239,2222
2000-04-01,359,20546,7097,337,3901,1469,477,4830,2075
2000-05-01,394,21928,7651,324,4239,1502,482,5274,2057
2000-06-01,354,20927,7218,304,4019,1482,517,4989,2039
2000-07-01,342,20814,7276,273,3986,1492,475,5004,1964
2000-08-01,353,21777,7625,282,4199,1488,504,5125,2196
2000-09-01,347,21713,7444,307,4271,1449,504,5155,2236
2000-10-01,396,22354,7696,307,4272,1506,543,5521,2109
2000-11-01,374,20513,7094,268,3915,1388,514,4998,1960
2000-12-01,304,19513,7068,317,3734,1348,499,4332,1906
2001-01-01,379,20594,7245,335,4025,1509,512,4441,2145
2001-02-01,307,19616,6783,301,3817,1394,447,4627,1939
2001-03-01,311,22085,7719,326,4320,1516,482,5242,2167
2001-04-01,303,20732,7116,352,4222,1409,427,4898,1999
2001-05-01,317,21451,7219,346,4473,1482,496,4983,2132
2001-06-01,311,20588,7226,317,4037,1410,439,4836,2006
2001-07-01,328,21307,7303,298,4157,1521,443,5158,2097
2001-08-01,369,21971,7521,306,4432,1502,467,5259,2113
2001-09-01,321,21719,7485,311,4174,1524,479,5253,2169
2001-10-01,329,21743,7464,301,4212,1465,494,5338,2137
2001-11-01,291,20034,6845,292,3874,1419,484,4852,1972
2001-12-01,326,19728,6682,314,3816,1401,492,4801,1892
2002-01-01,349,21520,7332,332,4102,1559,514,5185,2144
2002-02-01,317,20001,6893,283,3867,1458,448,4748,1985
2002-03-01,346,21803,7552,353,4292,1581,486,5096,2093
2002-04-01,335,20906,7078,325,4202,1468,454,4974,2066
2002-05-01,357,21496,7440,315,4179,1437,476,5180,2109
2002-06-01,338,20357,7006,315,3960,1353,498,4921,1965
2002-07-01,336,21624,7392,327,4351,1451,488,5305,1972
2002-08-01,360,21391,7395,302,4097,1509,495,5231,2000
2002-09-01,361,21710,7500,322,4111,1546,510,5282,2076
2002-10-01,369,22015,7735,319,4019,1506,505,5414,2145
2002-11-01,314,20128,7016,264,3864,1416,455,4846,1949
2002-12-01,322,20495,7095,318,3936,1329,498,5031,1965
2003-01-01,328,20880,7142,327,4121,1443,460,4998,2058
2003-02-01,317,19457,6651,335,3841,1310,426,4679,1895
2003-03-01,362,21428,7421,354,4292,1465,484,4991,2055
2003-04-01,311,20574,7150,292,4122,1458,410,4795,2030
2003-05-01,320,21428,7485,358,4199,1489,460,4947,2166
2003-06-01,353,21234,7372,312,4283,1481,432,5031,1969
2003-07-01,361,21953,7521,300,4421,1544,500,5245,2059
2003-08-01,316,21647,7476,286,4231,1533,476,5294,2033
2003-09-01,395,22112,7667,285,4290,1594,491,5406,1983
2003-10-01,384,22584,7747,319,4404,1500,520,5536,2170
2003-11-01,357,19808,6708,267,3889,1430,470,4935,1752
2003-12-01,348,20804,7133,305,4128,1446,500,5074,1869
2004-01-01,384,21670,7436,301,4305,1471,464,5164,2144
2004-02-01,290,20369,6829,299,4042,1371,437,4980,2117
2004-03-01,361,22405,7611,349,4603,1340,460,5407,2271
2004-04-01,339,21427,7216,333,4383,1450,433,5134,2137
2004-05-01,306,20995,7125,274,4226,1454,447,4975,2184
2004-06-01,331,19620,6584,307,3943,1281,402,4757,2013
2004-07-01,361,22449,7494,309,4609,1476,519,5452,2227
2004-08-01,374,21314,7161,275,4238,1437,514,5281,2031
2004-09-01,377,21928,7535,281,4366,1424,504,5280,2160
2004-10-01,373,21367,7301,270,4108,1470,476,5340,2026
2004-11-01,333,20524,7057,270,3933,1420,481,5032,1996
2004-12-01,329,20520,6841,269,4116,1413,477,5029,2045
2005-01-01,361,21405,7221,283,4333,1451,506,5056,2192
2005-02-01,344,20489,6874,282,4220,1435,450,4804,2077
2005-03-01,365,23563,7956,321,4893,1639,438,5580,2368
2005-04-01,356,22625,7703,301,4842,1475,491,5210,2245
2005-05-01,348,22832,7627,344,4863,1469,518,5384,2275
2005-06-01,312,22304,7500,316,4596,1553,507,5331,2187
2005-07-01,362,22683,7769,318,4777,1474,533,5313,2136
2005-08-01,363,23006,7721,320,4687,1576,542,5447,2348
2005-09-01,355,23471,8041,329,4721,1567,534,5563,2358
2005-10-01,384,23176,7895,313,4545,1498,559,5653,2326
2005-11-01,360,21672,7287,300,4326,1433,509,5346,2107
2005-12-01,366,22222,7462,261,4600,1449,562,5363,2154
2006-01-01,391,22575,7332,307,4665,1521,562,5416,2379
2006-02-01,365,20946,6570,315,4403,1473,528,5126,2164
2006-03-01,418,23057,6870,327,5145,1604,546,5696,2450
2006-04-01,374,22366,7493,330,4587,1470,450,5312,2348
2006-05-01,361,23244,7871,330,4815,1540,474,5500,2351
2006-06-01,361,22374,7430,297,4658,1469,481,5420,2258
2006-07-01,403,23989,7975,297,4932,1626,575,5809,2370
2006-08-01,400,24209,8164,287,4777,1552,577,5963,2488
2006-09-01,405,24434,8162,301,4822,1653,634,5899,2555
2006-10-01,405,24197,8205,304,4763,1551,550,6004,2413
2006-11-01,344,22851,7655,314,4511,1527,601,5552,2342
2006-12-01,357,22628,7570,310,4543,1493,561,5555,2238
2007-01-01,401,24432,8096,314,5080,1627,553,5843,2517
2007-02-01,339,22681,7478,302,4675,1588,498,5442,2359
2007-03-01,401,25451,8426,377,5290,1680,564,6099,2612
2007-04-01,373,23456,7890,348,4969,1493,495,5527,2360
2007-05-01,387,24830,8382,325,5213,1603,571,5809,2538
2007-06-01,394,23772,7950,303,4857,1627,490,5660,2488
2007-07-01,386,24920,8163,313,5253,1683,598,5997,2525
2007-08-01,405,25251,8271,319,5258,1746,546,6179,2525
2007-09-01,397,24517,8144,303,5119,1566,577,5967,2441
2007-10-01,377,25198,8350,305,5106,1709,544,6293,2513
2007-11-01,396,23390,7697,332,4639,1533,546,5828,2419
2007-12-01,379,23073,7437,312,4740,1633,527,5560,2477
2008-01-01,374,24743,7978,350,5190,1613,559,5988,2686
2008-02-01,339,23364,7628,309,4859,1573,522,5589,2542
2008-03-01,402,25037,8275,342,5281,1722,541,5928,2544
2008-04-01,382,24042,7811,326,5204,1575,534,5697,2510
2008-05-01,395,24417,8051,338,5114,1697,519,5690,2610
2008-06-01,366,23435,7646,334,4978,1545,543,5539,2483
2008-07-01,427,25586,8639,327,5260,1723,571,6117,2521
2008-08-01,408,24982,8233,328,5230,1672,559,6001,2551
2008-09-01,435,24965,8065,325,5200,1680,547,6120,2589
2008-10-01,431,25478,8473,303,5172,1704,576,6220,2599
2008-11-01,366,22964,7622,283,4760,1539,551,5607,2235
2008-12-01,421,25046,8478,298,5182,1642,575,5951,2495
2009-01-01,385,24123,7916,326,5105,1641,522,5736,2491
2009-02-01,366,23412,7593,324,4995,1585,503,5568,2475
2009-03-01,381,25324,8180,331,5429,1682,580,6040,2699
2009-04-01,399,24809,8103,368,5272,1625,524,5845,2672
2009-05-01,400,24612,7985,343,5375,1566,564,5810,2564
2009-06-01,425,24353,7786,337,5125,1654,554,5925,2547
2009-07-01,447,25520,8492,333,5309,1705,512,6143,2578
2009-08-01,420,24411,7954,296,5092,1582,572,6013,2482
2009-09-01,464,25436,8475,299,5116,1678,545,6116,2741
2009-10-01,434,25909,8398,335,5180,1758,625,6517,2660
2009-11-01,399,23830,7930,309,4781,1567,532,5834,2474
2009-12-01,432,24682,8079,332,5078,1588,501,6098,2572
2010-01-01,419,24861,8126,310,5147,1706,533,6001,2618
2010-02-01,444,23415,7524,305,5082,1541,472,5634,2411
2010-03-01,436,26678,8552,384,5703,1765,541,6373,2923
2010-04-01,413,24661,8038,332,5303,1606,498,5909,2559
2010-05-01,436,25406,8274,351,5334,1729,536,6085,2660
2010-06-01,452,25061,8318,315,5239,1617,495,6019,2602
2010-07-01,452,25300,8335,328,5261,1687,490,6170,2576
2010-08-01,441,24978,8131,300,5261,1572,504,6180,2585
2010-09-01,393,25086,8259,344,5096,1668,578,6130,2618
2010-10-01,429,24898,8108,308,4993,1713,564,6213,2569
2010-11-01,349,23285,7706,298,4673,1599,496,5743,2421
2010-12-01,409,23552,7609,315,4864,1571,510,5831,2442
2011-01-01,476,24952,8183,309,5193,1668,545,5936,2640
2011-02-01,430,23676,7668,319,4978,1526,520,5709,2525
2011-03-01,443,26586,8598,358,5679,1704,588,6280,2935
2011-04-01,417,24817,8061,341,5308,1653,503,5891,2641
2011-05-01,435,25632,8378,338,5423,1702,548,6055,2751
2011-06-01,426,25105,8255,371,5226,1644,504,5946,2731
2011-07-01,423,24925,8030,343,5101,1678,541,6227,2581
2011-08-01,416,25254,8269,353,5158,1699,517,6214,2624
2011-09-01,476,25394,8310,302,5110,1728,531,6139,2792
2011-10-01,454,25083,8089,314,4968,1755,547,6388,2564
2011-11-01,418,24158,7776,288,4946,1638,504,5970,2617
2011-12-01,444,24308,7845,291,4934,1645,546,6107,2492
2012-01-01,460,25753,8392,338,5333,1711,533,6239,2746
2012-02-01,434,24648,7817,340,5144,1600,524,6112,2677
2012-03-01,483,26408,8394,368,5608,1681,462,6461,2946
2012-04-01,411,25072,8138,339,5161,1639,479,6224,2680
2012-05-01,427,26406,8681,387,5490,1740,530,6235,2911
